buffer_timestamp,data_throughput,pr4g_queue_occupancy,round
2021-04-09 07:47:12,600,0,1
2021-04-09 07:48:28,4800,22,1
2021-04-09 07:48:30,4800,22,1
2021-04-09 07:48:31,4800,22,1
2021-04-09 07:48:33,4800,22,1
2021-04-09 07:48:36,4800,20,1
2021-04-09 07:48:39,4800,20,1
2021-04-09 07:48:40,4800,20,1
2021-04-09 07:48:42,4800,19,1
2021-04-09 07:48:43,4800,19,1
2021-04-09 07:48:45,4800,19,1
2021-04-09 07:48:46,4800,19,1
2021-04-09 07:48:49,4800,17,1
2021-04-09 07:48:51,4800,17,1
2021-04-09 07:48:52,4800,17,1
2021-04-09 07:48:54,4800,18,1
2021-04-09 07:48:55,4800,18,1
2021-04-09 07:48:56,4800,18,1
2021-04-09 07:48:58,4800,16,1
2021-04-09 07:49:01,4800,16,1
2021-04-09 07:49:02,4800,16,1
2021-04-09 07:49:03,4800,16,1
2021-04-09 07:49:06,4800,14,1
2021-04-09 07:49:07,4800,14,1
2021-04-09 07:49:08,4800,14,1
2021-04-09 07:49:09,4800,12,1
2021-04-09 07:49:11,4800,12,1
2021-04-09 07:49:13,4800,12,1
2021-04-09 07:49:15,4800,12,1
2021-04-09 07:49:19,4800,10,1
2021-04-09 07:49:21,4800,10,1
2021-04-09 07:49:22,4800,10,1
2021-04-09 07:49:24,4800,10,1
2021-04-09 07:49:26,4800,8,1
2021-04-09 07:49:27,4800,8,1
2021-04-09 07:49:28,4800,8,1
2021-04-09 07:49:29,4800,8,1
2021-04-09 07:49:30,4800,8,1
2021-04-09 07:49:32,4800,6,1
2021-04-09 07:49:34,4800,6,1
2021-04-09 07:49:36,4800,3,1
2021-04-09 07:49:38,4800,3,1
2021-04-09 07:49:39,4800,3,1
2021-04-09 07:49:40,4800,4,1
2021-04-09 07:49:41,4800,4,1
2021-04-09 07:49:43,4800,4,1
2021-04-09 07:49:44,4800,5,1
2021-04-09 07:49:46,4800,7,1
2021-04-09 07:49:47,4800,7,1
2021-04-09 07:49:50,4800,10,1
2021-04-09 07:49:53,4800,11,1
2021-04-09 07:49:54,4800,12,1
2021-04-09 07:49:55,4800,12,1
2021-04-09 07:49:58,4800,11,1
2021-04-09 07:49:59,4800,12,1
2021-04-09 07:50:00,4800,11,1
2021-04-09 07:50:02,4800,12,1
2021-04-09 07:50:03,4800,12,1
2021-04-09 07:50:05,4800,11,1
2021-04-09 07:50:06,4800,12,1
2021-04-09 07:50:08,4800,12,1
2021-04-09 07:50:10,4800,13,1
2021-04-09 07:50:11,4800,12,1
2021-04-09 07:50:12,4800,13,1
2021-04-09 07:50:15,4800,11,1
2021-04-09 07:50:16,4800,11,1
2021-04-09 07:50:17,4800,12,1
2021-04-09 07:50:20,4800,13,1
2021-04-09 07:50:21,4800,14,1
2021-04-09 07:50:22,4800,14,1
2021-04-09 07:50:23,4800,15,1
2021-04-09 07:50:26,4800,14,1
2021-04-09 07:50:27,4800,16,1
2021-04-09 07:50:29,4800,14,1
2021-04-09 07:50:30,4800,15,1
2021-04-09 07:50:31,4800,15,1
2021-04-09 07:50:33,4800,16,1
2021-04-09 07:50:34,4800,18,1
2021-04-09 07:50:36,4800,18,1
2021-04-09 07:50:38,4800,19,1
2021-04-09 07:50:39,4800,18,1
2021-04-09 07:50:40,4800,18,1
2021-04-09 07:50:41,4800,19,1
2021-04-09 07:50:42,4800,19,1
2021-04-09 07:50:45,4800,18,1
2021-04-09 07:50:46,4800,18,1
2021-04-09 07:50:47,4800,19,1
2021-04-09 07:50:50,4800,20,1
2021-04-09 07:50:51,4800,21,1
2021-04-09 07:50:52,4800,21,1
2021-04-09 07:50:54,4800,20,1
2021-04-09 07:50:55,4800,21,1
2021-04-09 07:50:56,4800,21,1
2021-04-09 07:50:57,4800,22,1
2021-04-09 07:50:59,4800,22,1
2021-04-09 07:51:00,4800,22,1
2021-04-09 07:51:01,4800,21,1
2021-04-09 07:51:02,4800,21,1
2021-04-09 07:51:03,4800,21,1
2021-04-09 07:51:05,4800,20,1
2021-04-09 07:51:06,4800,20,1
2021-04-09 07:51:08,4800,20,1
2021-04-09 07:51:09,4800,20,1
2021-04-09 07:51:10,4800,20,1
2021-04-09 07:51:12,4800,20,1
2021-04-09 07:51:14,4800,18,1
2021-04-09 07:51:15,4800,18,1
2021-04-09 07:51:18,4800,19,1
2021-04-09 07:54:03,4800,22,1
2021-04-09 07:54:04,4800,22,1
2021-04-09 07:54:06,4800,20,1
2021-04-09 07:54:09,4800,20,1
2021-04-09 07:54:10,4800,20,1
2021-04-09 07:54:11,4800,20,1
2021-04-09 07:54:14,4800,18,1
2021-04-09 07:54:16,4800,19,1
2021-04-09 07:54:19,4800,18,1
2021-04-09 07:54:20,4800,19,1
2021-04-09 07:54:22,4800,19,1
2021-04-09 07:54:24,4800,19,1
2021-04-09 07:54:26,4800,19,1
2021-04-09 07:54:27,4800,20,1
2021-04-09 07:54:28,4800,21,1
2021-04-09 07:54:31,4800,21,1
2021-04-09 07:54:32,4800,21,1
2021-04-09 07:54:33,4800,22,1
2021-04-09 07:54:36,4800,20,1
2021-04-09 07:54:37,4800,22,1
2021-04-09 07:54:39,4800,22,1
2021-04-09 07:54:40,4800,22,1
2021-04-09 07:54:43,4800,19,1
2021-04-09 07:54:45,4800,20,1
2021-04-09 07:54:46,4800,20,1
2021-04-09 07:54:48,4800,22,1
2021-04-09 07:54:50,4800,22,1
2021-04-09 07:54:51,4800,21,1
2021-04-09 07:54:53,4800,21,1
2021-04-09 07:54:54,4800,22,1
2021-04-09 07:54:56,4800,22,1
2021-04-09 07:54:58,4800,20,1
2021-04-09 07:55:00,4800,20,1
2021-04-09 07:55:01,4800,20,1
2021-04-09 07:55:03,4800,20,1
2021-04-09 07:55:04,4800,20,1
2021-04-09 07:55:05,4800,18,1
2021-04-09 07:55:06,4800,18,1
2021-04-09 07:55:09,4800,19,1
2021-04-09 07:55:10,4800,19,1
2021-04-09 07:55:12,4800,18,1
2021-04-09 07:55:13,4800,19,1
2021-04-09 07:55:16,4800,20,1
2021-04-09 07:55:17,4800,21,1
2021-04-09 07:55:19,4800,22,1
2021-04-09 07:55:21,4800,22,1
2021-04-09 07:55:22,4800,20,1
2021-04-09 07:55:24,4800,21,1
2021-04-09 07:55:26,4800,21,1
2021-04-09 07:55:27,4800,19,1
2021-04-09 07:55:28,4800,19,1
2021-04-09 07:55:29,4800,21,1
2021-04-09 07:55:31,4800,21,1
2021-04-09 07:55:33,4800,23,1
2021-04-09 07:55:34,4800,23,1
2021-04-09 07:55:36,4800,23,1
2021-04-09 07:55:38,4800,21,1
2021-04-09 07:55:39,4800,21,1
2021-04-09 07:55:41,4800,22,1
2021-04-09 07:55:43,4800,22,1
2021-04-09 07:55:44,4800,20,1
2021-04-09 07:55:45,4800,20,1
2021-04-09 07:55:47,4800,20,1
2021-04-09 07:55:48,4800,20,1
2021-04-09 07:55:49,4800,18,1
2021-04-09 07:55:51,4800,18,1
2021-04-09 07:55:53,4800,19,1
2021-04-09 07:55:54,4800,20,1
2021-04-09 07:55:56,4800,19,1
2021-04-09 07:55:58,4800,20,1
