packet_id,packet_timestamp,source_ip,destination_ip,protocol,packet_length,round
11256,2021-04-09 08:14:03.333702,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
44802,2021-04-09 08:17:53.077356,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
26421,2021-04-09 08:33:35.063335,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
58071,2021-04-09 08:50:20.871587,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
59797,2021-04-09 08:53:04.965612,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
12804,2021-04-09 09:00:30.603678,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
28738,2021-04-09 08:05:36.677948,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
30481,2021-04-09 08:22:07.125499,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
30540,2021-04-09 08:22:11.478845,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
31620,2021-04-09 08:23:29.838779,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
58749,2021-04-09 08:51:46.250180,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9766,2021-04-09 07:50:05.757994,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9810,2021-04-09 07:50:07.934784,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9818,2021-04-09 07:50:10.111390,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
9859,2021-04-09 07:50:12.288111,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
13685,2021-04-09 07:53:32.911627,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
13758,2021-04-09 07:53:35.088239,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
27923,2021-04-09 07:54:46.899693,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
28572,2021-04-09 08:05:27.971278,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
28602,2021-04-09 08:05:30.147947,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
28703,2021-04-09 08:05:32.324673,192.168.121.1,192.168.110.1,DATA_RAW,1306,1
