buffer_timestamp,data_throughput,pr4g_queue_occupancy,round
2021-04-08 16:01:21,600,0,1
2021-04-08 16:06:27,1200,20,1
2021-04-08 16:06:29,1200,20,1
2021-04-08 16:06:30,1200,20,1
2021-04-08 16:06:32,1200,21,1
2021-04-08 16:06:34,1200,21,1
2021-04-08 16:06:35,1200,21,1
2021-04-08 16:06:37,1200,21,1
2021-04-08 16:06:38,1200,21,1
2021-04-08 16:06:40,1200,21,1
2021-04-08 16:06:41,1200,21,1
2021-04-08 16:06:43,1200,21,1
2021-04-08 16:06:44,1200,21,1
2021-04-08 16:06:45,1200,21,1
2021-04-08 16:06:46,1200,21,1
2021-04-08 16:06:47,1200,21,1
2021-04-08 16:06:48,1200,21,1
2021-04-08 16:06:49,1200,21,1
2021-04-08 16:06:51,1200,21,1
2021-04-08 16:06:52,1200,20,1
2021-04-08 16:06:53,1200,20,1
2021-04-08 16:06:54,1200,20,1
2021-04-08 16:06:56,1200,20,1
2021-04-08 16:06:57,1200,20,1
2021-04-08 16:06:58,1200,20,1
2021-04-08 16:06:59,1200,20,1
2021-04-08 16:07:00,1200,20,1
2021-04-08 16:07:02,1200,19,1
2021-04-08 16:07:04,1200,19,1
2021-04-08 16:07:05,1200,19,1
2021-04-08 16:07:08,1200,19,1
2021-04-08 16:07:09,1200,19,1
2021-04-08 16:07:10,1200,19,1
2021-04-08 16:07:12,1200,19,1
2021-04-08 16:07:14,1200,19,1
2021-04-08 16:07:15,1200,19,1
2021-04-08 16:07:16,1200,19,1
2021-04-08 16:07:18,1200,19,1
2021-04-08 16:07:20,1200,19,1
2021-04-08 16:07:21,1200,19,1
2021-04-08 16:07:22,1200,19,1
2021-04-08 16:07:24,1200,19,1
2021-04-08 16:07:25,1200,19,1
2021-04-08 16:07:27,1200,20,1
2021-04-08 16:07:29,1200,20,1
2021-04-08 16:07:30,1200,20,1
2021-04-08 16:07:31,1200,19,1
2021-04-08 16:07:32,1200,19,1
2021-04-08 16:07:33,1200,19,1
2021-04-08 16:07:35,1200,20,1
2021-04-08 16:07:36,1200,20,1
2021-04-08 16:07:39,1200,20,1
2021-04-08 16:07:40,1200,20,1
2021-04-08 16:07:41,1200,19,1
2021-04-08 16:07:42,1200,19,1
2021-04-08 16:07:43,1200,20,1
2021-04-08 16:07:44,1200,20,1
