node,x,y,time,state,distance,speed,acc
0.0,1774.7,6234.65,0.0,2.0,0.0,0.0,0.0
0.0,1786.9,6188.659,3.0,2.0,47.582,15.861,5.287
0.0,1799.1000000000001,6142.668,6.0,3.0,47.582,15.861,0.0
0.0,1811.3,6096.677,9.0,3.0,47.582,15.861,0.0
0.0,1823.5,6050.686,12.0,3.0,47.582,15.861,0.0
0.0,1835.7,6004.695,15.0,3.0,47.582,15.861,0.0
0.0,1847.9,5958.704,18.0,3.0,47.582,15.861,0.0
0.0,1860.1000000000001,5912.713,21.0,3.0,47.582,15.861,0.0
0.0,1872.3,5866.722,24.0,3.0,47.582,15.861,0.0
0.0,1884.5,5820.731,27.0,3.0,47.582,15.861,0.0
0.0,1896.7,5774.74,30.0,4.0,47.582,15.861,0.0
0.0,1897.441,5776.864,34.0,4.0,2.25,0.562,-3.825
0.0,1898.182,5778.987999999999,38.0,4.0,2.25,0.562,0.0
0.0,1898.923,5781.112,42.0,4.0,2.25,0.562,0.0
0.0,1899.664,5783.236,46.0,4.0,2.25,0.562,0.0
0.0,1900.405,5785.36,50.0,4.0,2.25,0.562,0.0
0.0,1901.146,5787.4839999999995,54.0,4.0,2.25,0.562,0.0
0.0,1901.887,5789.607999999999,58.0,4.0,2.25,0.562,0.0
0.0,1902.628,5791.732,62.0,4.0,2.25,0.562,0.0
0.0,1903.369,5793.856,66.0,4.0,2.25,0.562,0.0
0.0,1904.11,5795.98,70.0,3.0,2.25,0.562,0.0
0.0,1910.11,5756.1179999999995,74.0,4.0,40.311,10.078,2.379
0.0,1916.11,5716.255999999999,78.0,4.0,40.311,10.078,0.0
0.0,1922.11,5676.393999999999,82.0,4.0,40.311,10.078,0.0
0.0,1928.11,5636.531999999999,86.0,4.0,40.311,10.078,0.0
0.0,1934.11,5596.67,90.0,4.0,40.311,10.078,0.0
0.0,1940.11,5556.808,94.0,4.0,40.311,10.078,0.0
0.0,1946.11,5516.946,98.0,4.0,40.311,10.078,0.0
0.0,1952.11,5477.084,102.0,4.0,40.311,10.078,0.0
0.0,1958.11,5437.222,106.0,4.0,40.311,10.078,0.0
0.0,1964.11,5397.36,110.0,5.0,40.311,10.078,0.0
0.0,1962.3999999999999,5399.931,114.0,4.0,3.088,0.772,-2.326
0.0,1960.6899999999998,5402.5019999999995,118.0,4.0,3.088,0.772,0.0
0.0,1958.98,5405.072999999999,122.0,4.0,3.088,0.772,0.0
0.0,1957.27,5407.643999999999,126.0,4.0,3.088,0.772,0.0
0.0,1955.56,5410.215,130.0,4.0,3.088,0.772,0.0
0.0,1953.85,5412.786,134.0,4.0,3.088,0.772,0.0
0.0,1952.1399999999999,5415.357,138.0,4.0,3.088,0.772,0.0
0.0,1950.43,5417.928,142.0,4.0,3.088,0.772,0.0
0.0,1948.72,5420.499,146.0,4.0,3.088,0.772,0.0
0.0,1947.01,5423.07,150.0,4.0,3.088,0.772,0.0
0.0,1947.1689999999999,5420.376,154.0,4.0,2.699,0.675,-0.024
0.0,1947.328,5417.682,158.0,4.0,2.699,0.675,0.0
0.0,1947.487,5414.987999999999,162.0,4.0,2.699,0.675,0.0
0.0,1947.646,5412.294,166.0,4.0,2.699,0.675,0.0
0.0,1947.8049999999998,5409.6,170.0,4.0,2.699,0.675,0.0
0.0,1947.964,5406.906,174.0,4.0,2.699,0.675,0.0
0.0,1948.123,5404.2119999999995,178.0,4.0,2.699,0.675,0.0
0.0,1948.282,5401.518,182.0,4.0,2.699,0.675,0.0
0.0,1948.4409999999998,5398.8240000000005,186.0,4.0,2.699,0.675,0.0
0.0,1948.6,5396.13,190.0,5.0,2.699,0.675,0.0
0.0,1949.1409999999998,5398.369000000001,194.0,4.0,2.303,0.576,-0.025
0.0,1949.682,5400.608,198.0,4.0,2.303,0.576,0.0
0.0,1950.223,5402.847000000001,202.0,4.0,2.303,0.576,0.0
0.0,1950.764,5405.086,206.0,4.0,2.303,0.576,0.0
0.0,1951.3049999999998,5407.325000000001,210.0,4.0,2.303,0.576,0.0
0.0,1951.846,5409.564,214.0,4.0,2.303,0.576,0.0
0.0,1952.387,5411.803000000001,218.0,4.0,2.303,0.576,0.0
0.0,1952.9279999999999,5414.042,222.0,4.0,2.303,0.576,0.0
0.0,1953.469,5416.281000000001,226.0,4.0,2.303,0.576,0.0
0.0,1954.01,5418.52,230.0,4.0,2.303,0.576,0.0
0.0,1932.403,5535.634,234.0,4.0,119.091,29.773,7.299
0.0,1910.796,5652.7480000000005,238.0,4.0,119.091,29.773,0.0
0.0,1889.189,5769.862,242.0,4.0,119.091,29.773,0.0
0.0,1867.582,5886.976000000001,246.0,3.0,119.091,29.773,0.0
0.0,1845.975,6004.09,250.0,3.0,119.091,29.773,0.0
0.0,1824.368,6121.204,254.0,3.0,119.091,29.773,0.0
0.0,1802.761,6238.318,258.0,2.0,119.091,29.773,0.0
0.0,1781.154,6355.432,262.0,2.0,119.091,29.773,0.0
0.0,1759.547,6472.546,266.0,2.0,119.091,29.773,0.0
0.0,1737.94,6589.66,270.0,1.0,119.091,29.773,0.0
0.0,1762.424,6470.237999999999,274.0,2.0,121.906,30.477,0.176
0.0,1786.9080000000001,6350.816,278.0,2.0,121.906,30.477,0.0
0.0,1811.392,6231.393999999999,282.0,2.0,121.906,30.477,0.0
0.0,1835.876,6111.972,286.0,3.0,121.906,30.477,0.0
0.0,1860.3600000000001,5992.549999999999,290.0,3.0,121.906,30.477,0.0
0.0,1884.844,5873.128,294.0,3.0,121.906,30.477,0.0
0.0,1909.328,5753.705999999999,298.0,4.0,121.906,30.477,0.0
0.0,1933.812,5634.284,302.0,4.0,121.906,30.477,0.0
0.0,1958.296,5514.861999999999,306.0,4.0,121.906,30.477,0.0
0.0,1982.78,5395.44,310.0,5.0,121.906,30.477,0.0
0.0,2011.815,5472.795999999999,314.0,4.0,82.626,20.657,-2.455
0.0,2040.85,5550.152,318.0,4.0,82.626,20.657,0.0
0.0,2069.885,5627.508,322.0,4.0,82.626,20.657,0.0
0.0,2098.92,5704.864,326.0,4.0,82.626,20.657,0.0
0.0,2127.955,5782.219999999999,330.0,4.0,82.626,20.657,0.0
0.0,2156.9900000000002,5859.576,334.0,3.0,82.626,20.657,0.0
0.0,2186.025,5936.932,338.0,3.0,82.626,20.657,0.0
0.0,2215.06,6014.2880000000005,342.0,3.0,82.626,20.657,0.0
0.0,2244.0950000000003,6091.644,346.0,3.0,82.626,20.657,0.0
0.0,2273.13,6169.0,350.0,2.0,82.626,20.657,0.0
0.0,2268.4300000000003,6128.0869999999995,354.0,3.0,41.182,10.296,-2.59
0.0,2263.73,6087.174,358.0,3.0,41.182,10.296,0.0
0.0,2259.03,6046.2609999999995,362.0,3.0,41.182,10.296,0.0
0.0,2254.33,6005.348,366.0,3.0,41.182,10.296,0.0
0.0,2249.63,5964.4349999999995,370.0,3.0,41.182,10.296,0.0
0.0,2244.9300000000003,5923.522,374.0,3.0,41.182,10.296,0.0
0.0,2240.23,5882.609,378.0,3.0,41.182,10.296,0.0
0.0,2235.53,5841.696,382.0,3.0,41.182,10.296,0.0
0.0,2230.83,5800.782999999999,386.0,3.0,41.182,10.296,0.0
0.0,2226.13,5759.87,390.0,4.0,41.182,10.296,0.0
0.0,2261.818,5897.465,394.0,3.0,142.148,35.537,6.31
0.0,2297.5060000000003,6035.0599999999995,398.0,3.0,142.148,35.537,0.0
0.0,2333.194,6172.655,402.0,2.0,142.148,35.537,0.0
0.0,2368.882,6310.25,406.0,2.0,142.148,35.537,0.0
0.0,2404.57,6447.844999999999,410.0,2.0,142.148,35.537,0.0
0.0,2440.2580000000003,6585.44,414.0,1.0,142.148,35.537,0.0
0.0,2475.9460000000004,6723.035,418.0,1.0,142.148,35.537,0.0
0.0,2511.634,6860.63,422.0,1.0,142.148,35.537,0.0
0.0,2547.322,6998.224999999999,426.0,0.0,142.148,35.537,0.0
0.0,2583.01,7135.82,430.0,0.0,142.148,35.537,0.0
0.0,2538.8590000000004,6959.621,434.0,0.0,181.646,45.411,2.469
0.0,2494.708,6783.422,438.0,1.0,181.646,45.411,0.0
0.0,2450.5570000000002,6607.223,442.0,1.0,181.646,45.411,0.0
0.0,2406.406,6431.023999999999,446.0,2.0,181.646,45.411,0.0
0.0,2362.255,6254.825,450.0,2.0,181.646,45.411,0.0
0.0,2318.1040000000003,6078.626,454.0,3.0,181.646,45.411,0.0
0.0,2273.953,5902.427,458.0,3.0,181.646,45.411,0.0
0.0,2229.802,5726.228,462.0,4.0,181.646,45.411,0.0
0.0,2185.651,5550.0289999999995,466.0,4.0,181.646,45.411,0.0
0.0,2141.5,5373.83,470.0,5.0,181.646,45.411,0.0
0.0,2141.594,5415.29,474.0,4.0,41.46,10.365,-8.761
0.0,2141.688,5456.75,478.0,4.0,41.46,10.365,0.0
0.0,2141.782,5498.21,482.0,4.0,41.46,10.365,0.0
