node,x,y,time,state,distance,speed,acc
0.0,25.72394,8.17826,0.0,2.0,0.0,0.0,0.0
0.0,27.92005,21.88597,300.0,4.0,13882.515,46.275,0.154
0.0,16.19662,28.02099,660.0,3.0,13231.677,36.755,-0.026
0.0,31.25533,33.4919,1020.0,3.0,16021.723,44.505,0.022
0.0,12.726209999999998,2.51795,1380.0,0.0,36093.128,100.259,0.155
0.0,23.40901,13.260860000000001,1740.0,3.0,15150.324,42.084,-0.162
0.0,14.48814,24.79102,2100.0,3.0,14578.289,40.495,-0.004
0.0,18.22054,34.11045,2460.0,3.0,10039.053,27.886,-0.035
0.0,15.00524,39.46792,2820.0,1.0,6248.251,17.356,-0.029
0.0,0.5971599999999999,17.91651,3180.0,0.0,25924.044,72.011,0.152
0.0,28.30464,29.64216,3540.0,4.0,30086.464,83.574,0.032
0.0,28.9005,9.693430000000001,3900.0,2.0,19957.627,55.438,-0.078
0.0,33.84078,23.75065,4260.0,3.0,14900.06,41.389,-0.039
0.0,42.31779,16.541400000000003,4620.0,1.0,11128.027,30.911,-0.029
0.0,24.58248,32.17841,4980.0,3.0,23644.393,65.679,0.097
0.0,31.352330000000002,37.891589999999994,5340.0,2.0,8858.402,24.607,-0.114
0.0,18.59948,20.180979999999998,5700.0,4.0,21824.319,60.623,0.1
0.0,13.54702,1.9263599999999999,6060.0,0.0,18940.921,52.614,-0.022
0.0,30.57325,17.826130000000003,6420.0,3.0,23295.819,64.711,0.034
0.0,22.99812,29.06981,6780.0,4.0,13557.394,37.659,-0.075
0.0,42.00562,19.60857,7140.0,1.0,21232.054,58.978,0.059
0.0,34.06846,8.31029,7500.0,1.0,13807.594,38.354,-0.057
0.0,17.040110000000002,20.824840000000002,7860.0,4.0,21132.408,58.701,0.057
0.0,8.231020000000001,7.31846,8220.0,0.0,16125.209,44.792,-0.039
0.0,14.18003,19.80947,8580.0,3.0,13835.319,38.431,-0.018
0.0,11.64847,34.753209999999996,8940.0,1.0,15156.654,42.102,0.01
0.0,46.67704,30.61291,9300.0,0.0,35272.408,97.979,0.155
0.0,28.76718,34.64273,9660.0,3.0,18357.629,50.993,-0.131
0.0,34.51476,33.142269999999996,10020.0,2.0,5940.207,16.501,-0.096
0.0,28.51371,38.10968,10380.0,2.0,7790.235,21.64,0.014
1,24.0,24.0,0,Base,,,
1,24.0001,24.0001,10380.0,Base,,,
