node,x,y,time,state,distance,speed,acc
0.0,128.62,40.89,0.0,2.0,0.0,0.0,0.0
0.0,129.71800000000002,47.744,2.0,2.0,6.941,3.47,1.735
0.0,130.816,54.598,4.0,2.0,6.941,3.47,0.0
0.0,131.91400000000002,61.452000000000005,6.0,3.0,6.941,3.47,0.0
0.0,133.012,68.30600000000001,8.0,3.0,6.941,3.47,0.0
0.0,134.11,75.16,10.0,3.0,6.941,3.47,0.0
0.0,135.208,82.01400000000001,12.0,3.0,6.941,3.47,0.0
0.0,136.306,88.86800000000001,14.0,4.0,6.941,3.47,0.0
0.0,137.404,95.72200000000001,16.0,4.0,6.941,3.47,0.0
0.0,138.502,102.57600000000001,18.0,4.0,6.941,3.47,0.0
0.0,139.6,109.43,20.0,4.0,6.941,3.47,0.0
0.0,133.738,112.498,22.0,5.0,6.616,3.308,-0.081
0.0,127.87599999999999,115.566,24.0,5.0,6.616,3.308,0.0
0.0,122.014,118.63400000000001,26.0,5.0,6.616,3.308,0.0
0.0,116.152,121.70200000000001,28.0,5.0,6.616,3.308,0.0
0.0,110.28999999999999,124.77000000000001,30.0,5.0,6.616,3.308,0.0
0.0,104.428,127.83800000000002,32.0,5.0,6.616,3.308,0.0
0.0,98.566,130.906,34.0,4.0,6.616,3.308,0.0
0.0,92.70400000000001,133.97400000000002,36.0,4.0,6.616,3.308,0.0
0.0,86.842,137.042,38.0,4.0,6.616,3.308,0.0
0.0,80.98,140.11,40.0,3.0,6.616,3.308,0.0
0.0,88.51,142.84500000000003,42.0,4.0,8.011,4.005,0.349
0.0,96.04,145.58,44.0,4.0,8.011,4.005,0.0
0.0,103.57000000000001,148.31500000000003,46.0,4.0,8.011,4.005,0.0
0.0,111.10000000000001,151.05,48.0,4.0,8.011,4.005,0.0
0.0,118.63,153.78500000000003,50.0,4.0,8.011,4.005,0.0
0.0,126.16000000000001,156.52,52.0,4.0,8.011,4.005,0.0
0.0,133.69,159.25500000000002,54.0,3.0,8.011,4.005,0.0
0.0,141.22,161.99,56.0,3.0,8.011,4.005,0.0
0.0,148.75,164.72500000000002,58.0,3.0,8.011,4.005,0.0
0.0,156.28,167.46,60.0,3.0,8.011,4.005,0.0
0.0,147.201,152.328,62.0,3.0,17.647,8.823,2.409
0.0,138.122,137.196,64.0,4.0,17.647,8.823,0.0
0.0,129.043,122.064,66.0,5.0,17.647,8.823,0.0
0.0,119.964,106.93200000000002,68.0,5.0,17.647,8.823,0.0
0.0,110.88499999999999,91.80000000000001,70.0,4.0,17.647,8.823,0.0
0.0,101.80599999999998,76.66799999999999,72.0,3.0,17.647,8.823,0.0
0.0,92.72699999999999,61.536,74.0,2.0,17.647,8.823,0.0
0.0,83.648,46.40400000000001,76.0,1.0,17.647,8.823,0.0
0.0,74.56899999999999,31.27200000000002,78.0,1.0,17.647,8.823,0.0
0.0,65.49,16.14,80.0,0.0,17.647,8.823,0.0
0.0,70.646,21.156,82.0,0.0,7.193,3.596,-2.614
0.0,75.80199999999999,26.172,84.0,0.0,7.193,3.596,0.0
0.0,80.958,31.188000000000002,86.0,1.0,7.193,3.596,0.0
0.0,86.114,36.204,88.0,1.0,7.193,3.596,0.0
0.0,91.27,41.22,90.0,1.0,7.193,3.596,0.0
0.0,96.426,46.236000000000004,92.0,2.0,7.193,3.596,0.0
0.0,101.582,51.252,94.0,2.0,7.193,3.596,0.0
0.0,106.738,56.268,96.0,2.0,7.193,3.596,0.0
0.0,111.894,61.284,98.0,3.0,7.193,3.596,0.0
0.0,117.05,66.3,100.0,3.0,7.193,3.596,0.0
0.0,112.589,72.066,102.0,3.0,7.29,3.645,0.024
0.0,108.128,77.832,104.0,3.0,7.29,3.645,0.0
0.0,103.667,83.598,106.0,4.0,7.29,3.645,0.0
0.0,99.20599999999999,89.364,108.0,4.0,7.29,3.645,0.0
0.0,94.745,95.13,110.0,4.0,7.29,3.645,0.0
0.0,90.28399999999999,100.896,112.0,4.0,7.29,3.645,0.0
0.0,85.823,106.662,114.0,4.0,7.29,3.645,0.0
0.0,81.362,112.428,116.0,4.0,7.29,3.645,0.0
0.0,76.901,118.19399999999999,118.0,3.0,7.29,3.645,0.0
0.0,72.44,123.96,120.0,3.0,7.29,3.645,0.0
0.0,74.306,128.619,122.0,3.0,5.019,2.51,-0.568
0.0,76.172,133.278,124.0,3.0,5.019,2.51,0.0
0.0,78.038,137.937,126.0,3.0,5.019,2.51,0.0
0.0,79.904,142.596,128.0,3.0,5.019,2.51,0.0
