node,x,y,time,state,distance,speed,acc
0.0,111.02,253.46,0.0,5.0,0.0,0.0,0.0
0.0,111.87599999999999,253.57500000000002,3.0,5.0,0.864,0.288,0.096
0.0,112.732,253.69,6.0,5.0,0.864,0.288,0.0
0.0,113.588,253.805,9.0,5.0,0.864,0.288,0.0
0.0,114.444,253.92000000000002,12.0,5.0,0.864,0.288,0.0
0.0,115.3,254.03500000000003,15.0,5.0,0.864,0.288,0.0
0.0,116.15599999999999,254.15,18.0,5.0,0.864,0.288,0.0
0.0,117.012,254.26500000000001,21.0,5.0,0.864,0.288,0.0
0.0,117.868,254.38000000000002,24.0,5.0,0.864,0.288,0.0
0.0,118.724,254.495,27.0,5.0,0.864,0.288,0.0
0.0,119.58,254.61,30.0,4.0,0.864,0.288,0.0
0.0,121.536,255.042,34.0,4.0,2.003,0.501,0.053
0.0,123.49199999999999,255.47400000000002,38.0,4.0,2.003,0.501,0.0
0.0,125.448,255.906,42.0,4.0,2.003,0.501,0.0
0.0,127.404,256.338,46.0,4.0,2.003,0.501,0.0
0.0,129.35999999999999,256.77,50.0,4.0,2.003,0.501,0.0
0.0,131.316,257.202,54.0,4.0,2.003,0.501,0.0
0.0,133.272,257.634,58.0,4.0,2.003,0.501,0.0
0.0,135.22799999999998,258.06600000000003,62.0,4.0,2.003,0.501,0.0
0.0,137.184,258.498,66.0,4.0,2.003,0.501,0.0
0.0,139.14,258.93,70.0,3.0,2.003,0.501,0.0
0.0,141.07299999999998,259.469,74.0,3.0,2.007,0.502,0.0
0.0,143.006,260.008,78.0,3.0,2.007,0.502,0.0
0.0,144.939,260.547,82.0,3.0,2.007,0.502,0.0
0.0,146.87199999999999,261.086,86.0,3.0,2.007,0.502,0.0
0.0,148.805,261.625,90.0,3.0,2.007,0.502,0.0
0.0,150.738,262.164,94.0,3.0,2.007,0.502,0.0
0.0,152.671,262.703,98.0,3.0,2.007,0.502,0.0
0.0,154.60399999999998,263.242,102.0,3.0,2.007,0.502,0.0
0.0,156.537,263.781,106.0,3.0,2.007,0.502,0.0
0.0,158.47,264.32,110.0,2.0,2.007,0.502,0.0
0.0,160.352,265.30899999999997,114.0,2.0,2.126,0.531,0.007
0.0,162.234,266.298,118.0,2.0,2.126,0.531,0.0
0.0,164.11599999999999,267.287,122.0,2.0,2.126,0.531,0.0
0.0,165.998,268.276,126.0,2.0,2.126,0.531,0.0
0.0,167.88,269.265,130.0,2.0,2.126,0.531,0.0
0.0,169.762,270.25399999999996,134.0,2.0,2.126,0.531,0.0
0.0,171.644,271.243,138.0,2.0,2.126,0.531,0.0
0.0,173.52599999999998,272.23199999999997,142.0,2.0,2.126,0.531,0.0
0.0,175.408,273.221,146.0,2.0,2.126,0.531,0.0
0.0,177.29,274.21,150.0,1.0,2.126,0.531,0.0
0.0,180.16899999999998,274.81899999999996,154.0,1.0,2.943,0.736,0.051
0.0,183.048,275.428,158.0,1.0,2.943,0.736,0.0
0.0,185.927,276.037,162.0,1.0,2.943,0.736,0.0
0.0,188.806,276.646,166.0,1.0,2.943,0.736,0.0
0.0,191.685,277.255,170.0,1.0,2.943,0.736,0.0
0.0,194.56400000000002,277.864,174.0,1.0,2.943,0.736,0.0
0.0,197.443,278.473,178.0,0.0,2.943,0.736,0.0
0.0,200.322,279.082,182.0,0.0,2.943,0.736,0.0
0.0,203.20100000000002,279.69100000000003,186.0,0.0,2.943,0.736,0.0
0.0,206.08,280.3,190.0,0.0,2.943,0.736,0.0
0.0,206.315,280.212,194.0,0.0,0.251,0.063,-0.168
0.0,206.55,280.124,198.0,0.0,0.251,0.063,0.0
0.0,206.78500000000003,280.036,202.0,0.0,0.251,0.063,0.0
0.0,207.02,279.94800000000004,206.0,0.0,0.251,0.063,0.0
0.0,207.255,279.86,210.0,0.0,0.251,0.063,0.0
0.0,207.49,279.772,214.0,0.0,0.251,0.063,0.0
0.0,207.72500000000002,279.684,218.0,0.0,0.251,0.063,0.0
0.0,207.96,279.596,222.0,0.0,0.251,0.063,0.0
0.0,208.195,279.50800000000004,226.0,0.0,0.251,0.063,0.0
0.0,208.43,279.42,230.0,0.0,0.251,0.063,0.0
0.0,208.30200000000002,279.51300000000003,234.0,0.0,0.158,0.04,-0.006
0.0,208.174,279.606,238.0,0.0,0.158,0.04,0.0
0.0,208.046,279.699,242.0,0.0,0.158,0.04,0.0
0.0,207.918,279.79200000000003,246.0,0.0,0.158,0.04,0.0
0.0,207.79000000000002,279.885,250.0,0.0,0.158,0.04,0.0
0.0,207.662,279.978,254.0,0.0,0.158,0.04,0.0
0.0,207.534,280.071,258.0,0.0,0.158,0.04,0.0
0.0,207.406,280.16400000000004,262.0,0.0,0.158,0.04,0.0
0.0,207.27800000000002,280.257,266.0,0.0,0.158,0.04,0.0
0.0,207.15,280.35,270.0,0.0,0.158,0.04,0.0
0.0,207.224,280.452,274.0,0.0,0.126,0.032,-0.002
0.0,207.298,280.55400000000003,278.0,0.0,0.126,0.032,0.0
0.0,207.372,280.656,282.0,0.0,0.126,0.032,0.0
0.0,207.446,280.75800000000004,286.0,0.0,0.126,0.032,0.0
0.0,207.51999999999998,280.86,290.0,0.0,0.126,0.032,0.0
0.0,207.594,280.962,294.0,0.0,0.126,0.032,0.0
0.0,207.668,281.064,298.0,0.0,0.126,0.032,0.0
0.0,207.742,281.166,302.0,0.0,0.126,0.032,0.0
0.0,207.81599999999997,281.26800000000003,306.0,0.0,0.126,0.032,0.0
0.0,207.89,281.37,310.0,0.0,0.126,0.032,0.0
0.0,207.89999999999998,281.474,314.0,0.0,0.104,0.026,-0.002
0.0,207.91,281.57800000000003,318.0,0.0,0.104,0.026,0.0
0.0,207.92,281.682,322.0,0.0,0.104,0.026,0.0
0.0,207.93,281.786,326.0,0.0,0.104,0.026,0.0
0.0,207.94,281.89,330.0,0.0,0.104,0.026,0.0
0.0,207.95,281.994,334.0,0.0,0.104,0.026,0.0
0.0,207.96,282.098,338.0,0.0,0.104,0.026,0.0
0.0,207.97,282.202,342.0,0.0,0.104,0.026,0.0
0.0,207.98000000000002,282.30600000000004,346.0,0.0,0.104,0.026,0.0
0.0,207.99,282.41,350.0,0.0,0.104,0.026,0.0
0.0,208.001,282.39500000000004,354.0,0.0,0.019,0.005,-0.005
0.0,208.012,282.38,358.0,0.0,0.019,0.005,0.0
0.0,208.023,282.365,362.0,0.0,0.019,0.005,0.0
0.0,208.034,282.35,366.0,0.0,0.019,0.005,0.0
0.0,208.04500000000002,282.33500000000004,370.0,0.0,0.019,0.005,0.0
0.0,208.056,282.32,374.0,0.0,0.019,0.005,0.0
0.0,208.067,282.305,378.0,0.0,0.019,0.005,0.0
0.0,208.078,282.29,382.0,0.0,0.019,0.005,0.0
0.0,208.089,282.275,386.0,0.0,0.019,0.005,0.0
0.0,208.1,282.26,390.0,0.0,0.019,0.005,0.0
0.0,207.858,282.161,394.0,0.0,0.261,0.065,0.015
0.0,207.61599999999999,282.062,398.0,0.0,0.261,0.065,0.0
0.0,207.374,281.96299999999997,402.0,0.0,0.261,0.065,0.0
0.0,207.132,281.864,406.0,0.0,0.261,0.065,0.0
0.0,206.89,281.765,410.0,0.0,0.261,0.065,0.0
0.0,206.648,281.666,414.0,0.0,0.261,0.065,0.0
0.0,206.406,281.567,418.0,0.0,0.261,0.065,0.0
0.0,206.16400000000002,281.46799999999996,422.0,0.0,0.261,0.065,0.0
0.0,205.922,281.36899999999997,426.0,0.0,0.261,0.065,0.0
0.0,205.68,281.27,430.0,0.0,0.261,0.065,0.0
0.0,204.609,280.918,434.0,0.0,1.127,0.282,0.054
0.0,203.538,280.566,438.0,0.0,1.127,0.282,0.0
0.0,202.467,280.214,442.0,0.0,1.127,0.282,0.0
0.0,201.39600000000002,279.86199999999997,446.0,0.0,1.127,0.282,0.0
0.0,200.325,279.51,450.0,0.0,1.127,0.282,0.0
0.0,199.254,279.158,454.0,0.0,1.127,0.282,0.0
0.0,198.183,278.806,458.0,0.0,1.127,0.282,0.0
0.0,197.112,278.454,462.0,0.0,1.127,0.282,0.0
0.0,196.041,278.102,466.0,0.0,1.127,0.282,0.0
0.0,194.97,277.75,470.0,1.0,1.127,0.282,0.0
0.0,193.249,276.803,474.0,1.0,1.964,0.491,0.052
0.0,191.528,275.856,478.0,1.0,1.964,0.491,0.0
0.0,189.807,274.909,482.0,1.0,1.964,0.491,0.0
